"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 17 14:23:27 BST 2020","Fri Jul 17 14:23:29 BST 2020","2342","","Google Searching: Search form the google search bar provide correct links - Outline Test","","Google Searching: Search form the google search bar provide correct links - Outline Test","When the user enter ""Cucumber"" into the search box","When the user enter ""Cucumber"" into the search box",""
"passed","Fri Jul 17 14:23:21 BST 2020","Fri Jul 17 14:23:24 BST 2020","3134","","Google Searching: Search from the search bar provides correct links","","Google Searching: Search from the search bar provides correct links","When the user enter ""Back to the Future"" into the search box","When the user enter ""Back to the Future"" into the search box",""
"passed","Fri Jul 17 14:23:38 BST 2020","Fri Jul 17 14:23:38 BST 2020","0","","Google Searching: Search form the google search bar provide correct links - Outline Test","","Google Searching: Search form the google search bar provide correct links - Outline Test","Hook","Hook",""
"passed","Fri Jul 17 14:23:29 BST 2020","Fri Jul 17 14:23:30 BST 2020","481","","Google Searching: Search form the google search bar provide correct links - Outline Test","","Google Searching: Search form the google search bar provide correct links - Outline Test","Then links related to ""Cucumber - Wikipedia"" are shown on the results page","Then links related to ""Cucumber - Wikipedia"" are shown on the results page",""
"passed","Fri Jul 17 14:23:37 BST 2020","Fri Jul 17 14:23:38 BST 2020","472","","Google Searching: Search form the google search bar provide correct links - Outline Test","","Google Searching: Search form the google search bar provide correct links - Outline Test","Then links related to ""Wellingborough - BBC Weather"" are shown on the results page","Then links related to ""Wellingborough - BBC Weather"" are shown on the results page",""
"passed","Fri Jul 17 14:23:31 BST 2020","Fri Jul 17 14:23:33 BST 2020","1850","","Google Searching: Search form the google search bar provide correct links - Outline Test","","Google Searching: Search form the google search bar provide correct links - Outline Test","When the user enter ""News"" into the search box","When the user enter ""News"" into the search box",""
"passed","Fri Jul 17 14:23:33 BST 2020","Fri Jul 17 14:23:33 BST 2020","437","","Google Searching: Search form the google search bar provide correct links - Outline Test","","Google Searching: Search form the google search bar provide correct links - Outline Test","Then links related to ""Home - BBC News"" are shown on the results page","Then links related to ""Home - BBC News"" are shown on the results page",""
"passed","Fri Jul 17 14:23:17 BST 2020","Fri Jul 17 14:23:21 BST 2020","3962","","Google Searching: Search from the search bar provides correct links","","Google Searching: Search from the search bar provides correct links","Given a web browser is on Google home page","Given a web browser is on Google home page",""
"passed","Fri Jul 17 14:23:24 BST 2020","Fri Jul 17 14:23:24 BST 2020","506","","Google Searching: Search from the search bar provides correct links","","Google Searching: Search from the search bar provides correct links","Then links related to ""Back to the Future - Wikipedia"" are shown on the results page","Then links related to ""Back to the Future - Wikipedia"" are shown on the results page",""
"passed","Fri Jul 17 14:23:35 BST 2020","Fri Jul 17 14:23:37 BST 2020","2287","","Google Searching: Search form the google search bar provide correct links - Outline Test","","Google Searching: Search form the google search bar provide correct links - Outline Test","When the user enter ""Weather"" into the search box","When the user enter ""Weather"" into the search box",""
"passed","Fri Jul 17 14:23:33 BST 2020","Fri Jul 17 14:23:35 BST 2020","1454","","Google Searching: Search form the google search bar provide correct links - Outline Test","","Google Searching: Search form the google search bar provide correct links - Outline Test","Given a web browser is on Google home page","Given a web browser is on Google home page",""
"passed","Fri Jul 17 14:23:24 BST 2020","Fri Jul 17 14:23:24 BST 2020","1","","Google Searching: Search from the search bar provides correct links","","Google Searching: Search from the search bar provides correct links","Hook","Hook",""
